;Codigo de numero;Codigo de via;Clase de la via;Nombre de la v�a;Literal de numeracion;Codigo de distrito;Nombre del distrito;Nombre del barrio;Codigo postal;Direccion completa para el numero;Coordenada X (Guia Urbana) cm;Coordenada Y (Guia Urbana) cm;Longitud en S R  ETRS89 WGS84;Latitud en S R  ETRS89 WGS84;Situacion de la via respecto al terreno
118301;31031390;1894;AUTOVIA                 ;M-40                                            ;KM.000500EX;16;HORTALEZA           ;VALDEFUENTES        ;28033;AUTOV M-40, 000500 EX                                          ;44654429;448060395;3�37'54.87'' W  ;40�28'21.07'' N ;Nivel      
118399;31031485;1894;AUTOVIA                 ;M-40                                            ;KM.005000EX;8;FUENCARRAL-EL PARDO ;EL PARDO            ;28023;AUTOV M-40, 005000 EX                                          ;43565160;448074364;3�45'37.45'' W  ;40�28'22.82'' N ;Nivel      
118400;31031579;1894;AUTOVIA                 ;M-40                                            ;KM.005000IN;8;FUENCARRAL-EL PARDO ;EL PARDO            ;28023;AUTOV M-40, 005000 IN                                          ;43566361;448069516;3�45'36.92'' W  ;40�28'21.24'' N ;Nivel      
118401;31031486;1894;AUTOVIA                 ;M-40                                            ;KM.005100EX;8;FUENCARRAL-EL PARDO ;EL PARDO            ;28035;AUTOV M-40, 005100 EX                                          ;43642732;448139310;3�45'4.77'' W   ;40�28'44.09'' N ;Nivel      
118402;31031580;1894;AUTOVIA                 ;M-40                                            ;KM.005100IN;8;FUENCARRAL-EL PARDO ;EL PARDO            ;28035;AUTOV M-40, 005100 IN                                          ;43645161;448134849;3�45'3.7'' W    ;40�28'42.67'' N ;Nivel      
118403;31031488;1894;AUTOVIA                 ;M-40                                            ;KM.005200EX;8;FUENCARRAL-EL PARDO ;FUENTELARREINA      ;28035;AUTOV M-40, 005200 EX                                          ;43715007;448206943;3�44'34.31'' W  ;40�29'6.24'' N  ;Nivel      
118404;31031581;1894;AUTOVIA                 ;M-40                                            ;KM.005200IN;8;FUENCARRAL-EL PARDO ;FUENTELARREINA      ;28035;AUTOV M-40, 005200 IN                                          ;43719547;448202879;3�44'32.34'' W  ;40�29'4.92'' N  ;Nivel      
118405;31062310;1894;AUTOVIA                 ;M-40                                            ;KM.005220IN;8;FUENCARRAL-EL PARDO ;FUENTELARREINA      ;28035;AUTOV M-40, 005220 IN                                          ;43728646;448222198;3�44'28.55'' W  ;40�29'11.21'' N ;Nivel      
118406;31054548;1894;AUTOVIA                 ;M-40                                            ;KM.005230IN;8;FUENCARRAL-EL PARDO ;FUENTELARREINA      ;28035;AUTOV M-40, 005230 IN                                          ;43732077;448229851;3�44'27.13'' W  ;40�29'13.71'' N ;Nivel      
118407;31031489;1894;AUTOVIA                 ;M-40                                            ;KM.005300EX;8;FUENCARRAL-EL PARDO ;MIRASIERRA          ;28035;AUTOV M-40, 005300 EX                                          ;43770140;448286797;3�44'11.15'' W  ;40�29'32.27'' N ;Nivel      
118305;31031392;1894;AUTOVIA                 ;M-40                                            ;KM.000700EX;21;BARAJAS             ;CORRALEJOS          ;28043;AUTOV M-40, 000700 EX                                          ;44772609;447905770;3�37'4.21'' W   ;40�27'31.2'' N  ;Nivel      
118304;31031534;1894;AUTOVIA                 ;M-40                                            ;KM.000600IN;16;HORTALEZA           ;CANILLAS            ;28043;AUTOV M-40, 000600 IN                                          ;44708116;447975658;3�37'31.81'' W  ;40�27'53.72'' N ;Nivel      
118302;31031502;1894;AUTOVIA                 ;M-40                                            ;KM.000500IN;16;HORTALEZA           ;PINAR DEL REY       ;28033;AUTOV M-40, 000500 IN                                          ;44651128;448057892;3�37'56.26'' W  ;40�28'20.25'' N ;Nivel      
118303;31031391;1894;AUTOVIA                 ;M-40                                            ;KM.000600EX;21;BARAJAS             ;CORRALEJOS          ;28042;AUTOV M-40, 000600 EX                                          ;44711996;447978220;3�37'30.16'' W  ;40�27'54.54'' N ;Nivel      
118330;31031545;1894;AUTOVIA                 ;M-40                                            ;KM.001700IN;13;PUENTE DE VALLECAS  ;PALOMERAS SURESTE   ;28018;AUTOV M-40, 001700 IN                                          ;44603770;447069471;3�38'13.32'' W  ;40�22'59.59'' N ;Nivel      
118397;31031578;1894;AUTOVIA                 ;M-40                                            ;KM.004900IN;9;MONCLOA-ARAVACA     ;VALDEMARIN          ;28023;AUTOV M-40, 004900 IN                                          ;43464570;448089785;3�46'20.23'' W  ;40�28'27.53'' N ;Nivel      
118396;31031484;1894;AUTOVIA                 ;M-40                                            ;KM.004900EX;8;FUENCARRAL-EL PARDO ;EL PARDO            ;28023;AUTOV M-40, 004900 EX                                          ;43464606;448092163;3�46'20.24'' W  ;40�28'28.31'' N ;Nivel      
118395;31061711;1894;AUTOVIA                 ;M-40                                            ;KM.004820EX;9;MONCLOA-ARAVACA     ;VALDEMARIN          ;28023;AUTOV M-40, 004820 EX                                          ;43389285;448092691;3�46'52.22'' W  ;40�28'28.26'' N ;Nivel      
118394;31031575;1894;AUTOVIA                 ;M-40                                            ;KM.004800IN;9;MONCLOA-ARAVACA     ;VALDEMARIN          ;28023;AUTOV M-40, 004800 IN                                          ;43374603;448080496;3�46'58.41'' W  ;40�28'24.26'' N ;Nivel      
118393;31031483;1894;AUTOVIA                 ;M-40                                            ;KM.004800EX;9;MONCLOA-ARAVACA     ;VALDEMARIN          ;28023;AUTOV M-40, 004800 EX                                          ;43372474;448084635;3�46'59.32'' W  ;40�28'25.59'' N ;Nivel      
118300;31031501;1894;AUTOVIA                 ;M-40                                            ;KM.000400IN;16;HORTALEZA           ;PINAR DEL REY       ;28033;AUTOV M-40, 000400 IN                                          ;44585686;448123747;3�38'24.24'' W  ;40�28'41.44'' N ;Nivel      
118331;31031404;1894;AUTOVIA                 ;M-40                                            ;KM.001800EX;13;PUENTE DE VALLECAS  ;PALOMERAS SURESTE   ;28031;AUTOV M-40, 001800 EX                                          ;44513889;447012957;3�38'51.27'' W  ;40�22'41.06'' N ;Nivel      
118332;31031547;1894;AUTOVIA                 ;M-40                                            ;KM.001800IN;13;PUENTE DE VALLECAS  ;PALOMERAS SURESTE   ;28018;AUTOV M-40, 001800 IN                                          ;44512994;447016638;3�38'51.67'' W  ;40�22'42.22'' N ;Nivel      
118333;31066038;1894;AUTOVIA                 ;M-40                                            ;KM.001870EX;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;28053;AUTOV M-40, 001870 EX                                          ;44463071;446959348;3�39'12.65'' W  ;40�22'23.52'' N ;Nivel      
118334;31066039;1894;AUTOVIA                 ;M-40                                            ;KM.001870IN;13;PUENTE DE VALLECAS  ;ENTREVIAS           ;28053;AUTOV M-40, 001870 IN                                          ;44459129;446963232;3�39'14.36'' W  ;40�22'24.78'' N ;Nivel      
118335;31066041;1894;AUTOVIA                 ;M-40                                            ;KM.001890EX;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;28053;AUTOV M-40, 001890 EX                                          ;44463010;446946338;3�39'12.65'' W  ;40�22'19.31'' N ;Nivel      
118336;31066045;1894;AUTOVIA                 ;M-40                                            ;KM.001893EX;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;28053;AUTOV M-40, 001893 EX                                          ;44464435;446941371;3�39'12.04'' W  ;40�22'17.72'' N ;Nivel      
118337;31066043;1894;AUTOVIA                 ;M-40                                            ;KM.001897EX;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;28031;AUTOV M-40, 001897 EX                                          ;44473001;446936159;3�39'8.38'' W   ;40�22'16.05'' N ;Nivel      
118338;31066044;1894;AUTOVIA                 ;M-40                                            ;KM.001898EX;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;28053;AUTOV M-40, 001898 EX                                          ;44465052;446935215;3�39'11.72'' W  ;40�22'15.71'' N ;Nivel      
118398;31066077;1894;AUTOVIA                 ;M-40                                            ;KM.004950IN;9;MONCLOA-ARAVACA     ;VALDEMARIN          ;28023;AUTOV M-40, 004950 IN                                          ;43518412;448077565;3�45'57.34'' W  ;40�28'23.73'' N ;Nivel      
118408;31031585;1894;AUTOVIA                 ;M-40                                            ;KM.005300IN;8;FUENCARRAL-EL PARDO ;MIRASIERRA          ;28035;AUTOV M-40, 005300 IN                                          ;43772705;448283615;3�44'10.08'' W  ;40�29'31.24'' N ;Nivel      
118295;31031388;1894;AUTOVIA                 ;M-40                                            ;KM.000300EX;16;HORTALEZA           ;VALDEFUENTES        ;28055;AUTOV M-40, 000300 EX                                          ;44554815;448224321;3�38'37.67'' W  ;40�29'13.99'' N ;Nivel      
118431;31065195;1894;AUTOVIA                 ;M-40                                            ;NUM000800EX;16;HORTALEZA           ;VALDEFUENTES        ;28055;AUTOV M-40, 000800 EX                                          ;44513954;448437719;3�38'55.67'' W  ;40�30'23.1'' N  ;Nivel      
118418;31031589;1894;AUTOVIA                 ;M-40                                            ;KM.005700IN;8;FUENCARRAL-EL PARDO ;EL GOLOSO           ;28049;AUTOV M-40, 005700 IN                                          ;44091215;448506797;3�41'55.54'' W  ;40�30'44.46'' N ;Nivel      
118417;31031493;1894;AUTOVIA                 ;M-40                                            ;KM.005700EX;8;FUENCARRAL-EL PARDO ;EL GOLOSO           ;28049;AUTOV M-40, 005700 EX                                          ;44088685;448510407;3�41'56.61'' W  ;40�30'45.62'' N ;Nivel      
118416;31048627;1894;AUTOVIA                 ;M-40                                            ;KM.005650EX;8;FUENCARRAL-EL PARDO ;EL GOLOSO           ;28049;AUTOV M-40, 005650 EX                                          ;44048716;448484373;3�42'13.52'' W  ;40�30'37.09'' N ;Nivel      
118415;31031588;1894;AUTOVIA                 ;M-40                                            ;KM.005600IN;8;FUENCARRAL-EL PARDO ;EL GOLOSO           ;28049;AUTOV M-40, 005600 IN                                          ;44009281;448454174;3�42'30.16'' W  ;40�30'27.19'' N ;Nivel      
118414;31031492;1894;AUTOVIA                 ;M-40                                            ;KM.005600EX;8;FUENCARRAL-EL PARDO ;EL GOLOSO           ;28049;AUTOV M-40, 005600 EX                                          ;44007004;448457584;3�42'31.14'' W  ;40�30'28.29'' N ;Nivel      
118413;31031587;1894;AUTOVIA                 ;M-40                                            ;KM.005500IN;8;FUENCARRAL-EL PARDO ;MIRASIERRA          ;28049;AUTOV M-40, 005500 IN                                          ;43930000;448403281;3�43'3.67'' W   ;40�30'10.48'' N ;Nivel      
118419;31031494;1894;AUTOVIA                 ;M-40                                            ;KM.005800EX;8;FUENCARRAL-EL PARDO ;EL GOLOSO           ;28049;AUTOV M-40, 005800 EX                                          ;44154682;448575571;3�41'28.78'' W  ;40�31'6.94'' N  ;Nivel      
118412;31031491;1894;AUTOVIA                 ;M-40                                            ;KM.005500EX;8;FUENCARRAL-EL PARDO ;MIRASIERRA          ;28049;AUTOV M-40, 005500 EX                                          ;43927896;448406740;3�43'4.58'' W   ;40�30'11.57'' N ;Nivel      
118410;31031490;1894;AUTOVIA                 ;M-40                                            ;KM.005400EX;8;FUENCARRAL-EL PARDO ;MIRASIERRA          ;28049;AUTOV M-40, 005400 EX                                          ;43854126;448333436;3�43'35.67'' W  ;40�29'47.61'' N ;Nivel      
118293;31054005;1894;AUTOVIA                 ;M-40                                            ;KM.000120EX;16;HORTALEZA           ;VALDEFUENTES        ;28055;AUTOV M-40, 000120 EX                                          ;44519308;448399070;3�38'53.3'' W   ;40�30'10.59'' N ;Nivel      
118292;31051515;1894;AUTOVIA                 ;M-40                                            ;KM.000070EX;16;HORTALEZA           ;VALDEFUENTES        ;28055;AUTOV M-40, 000070 EX                                          ;44502246;448447013;3�39'0.67'' W   ;40�30'26.09'' N ;Nivel      
118291;31051412;1894;AUTOVIA                 ;M-40                                            ;KM.000060EX;16;HORTALEZA           ;VALDEFUENTES        ;28055;AUTOV M-40, 000060 EX                                          ;44497223;448455501;3�39'2.86'' W   ;40�30'28.83'' N ;Nivel      
